,delta,nodes_cc,length_cc,i,j
0,0.0,0.0,0.0,0.0,0.0
1,0.0,23781.0,955.9345160000009,0.0,0.0
2,1207.129340637136,27692.0,1163.601727999998,824620150.0,174101627.0
3,1453.8665974874118,30738.0,1301.8809969999936,46470667.0,1333607611.0
4,1479.417623069125,31010.0,1318.6470829999816,543702470.0,30153896.0
5,2894.0204251207215,31165.0,1333.4055689999823,473472111.0,123892541.0
6,2928.070358957269,31306.0,1345.2115369999872,123892541.0,808367492.0
7,2938.0874365096356,31423.0,1350.8696799999855,46566021.0,1360160421.0
8,3029.197041945504,31529.0,1356.0036079999863,1695924266.0,1399966370.0
9,3039.4029699422254,31599.0,1361.3007459999903,71856347.0,442703145.0
10,3065.0879021944793,31661.0,1363.2255389999884,2006114757.0,46310767.0
11,3177.211237901593,31717.0,1369.079818999987,67024321.0,1509163403.0
12,3605.3653941022535,31773.0,1373.9052249999854,3168406018.0,286565229.0
13,3649.755978948005,31828.0,1377.6680389999842,287966505.0,46235775.0
14,3691.6665265075435,31881.0,1381.0942549999838,573360765.0,46467690.0
15,3794.510695720168,31931.0,1384.3988629999865,46468080.0,46467276.0
16,3799.3984504050245,31980.0,1387.2847339999862,4753208764.0,5382829091.0
17,3829.4055041284305,32027.0,1388.6633369999863,46455686.0,46455606.0
18,3931.1005746514575,32073.0,1390.8959569999847,30802588.0,46207587.0
19,4073.5282568394628,32118.0,1391.5661499999853,46502041.0,4687248887.0
20,5124.0699315384645,32161.0,1393.1387699999852,46544194.0,46567050.0
21,5856.980649127018,32202.0,1395.0341139999862,1365363161.0,1939564572.0
22,5865.905819361821,32243.0,1395.866044999985,2303692258.0,5832869297.0
23,5993.13083620986,32280.0,1397.0644299999858,4795930323.0,4795920616.0
24,6079.143805744021,32313.0,1398.6772339999852,46410185.0,46410407.0
25,6113.556477211624,32346.0,1400.799024999986,46435047.0,46433913.0
26,6332.695591033319,32375.0,1402.3957829999842,46147958.0,718498378.0
27,6354.992495825486,32403.0,1402.9874519999844,66955458.0,46075299.0
28,6370.571745791614,32430.0,1406.5314119999853,46543900.0,46543724.0
29,6391.326485561333,32457.0,1407.2793499999855,46369862.0,46370164.0
30,6405.609506361409,32483.0,1408.2346519999858,4080283175.0,46245250.0
31,6421.496090172734,32509.0,1408.9160669999847,46374667.0,46374403.0
32,6503.744582374068,32535.0,1409.9584749999863,318147057.0,1299482886.0
33,6514.092668841035,32559.0,1415.1191469999865,1216103883.0,46265357.0
34,6516.706223525394,32583.0,1415.9285819999857,3073085595.0,1314165048.0
35,6644.724967487161,32607.0,1417.2989819999877,444500939.0,1365307223.0
36,7136.511490619695,32629.0,1417.8523459999878,808367529.0,795901339.0
37,7316.840317006305,32651.0,1418.6935799999883,33715933.0,1268723874.0
38,7353.377628329205,32672.0,1419.896518999988,46346609.0,46347682.0
39,7396.204341856151,32693.0,1420.2834229999887,46352879.0,46354203.0
40,7466.187729150024,32714.0,1421.999896999988,46393247.0,46395540.0
41,7472.652053253712,32734.0,1422.8588869999887,3175440817.0,5171795062.0
42,7710.30749298701,32754.0,1423.217696999988,5416888652.0,5350692539.0
43,7767.633160003661,32773.0,1423.6441369999886,114111766.0,2386525237.0
44,7785.496690550583,32791.0,1427.9298429999883,66997906.0,1905236802.0
45,7825.1595529982005,32809.0,1428.55774299999,46437335.0,46438698.0
46,8038.717219727815,32826.0,1429.18719699999,30664296.0,429785010.0
47,8135.690692710105,32843.0,1430.6975949999892,302340552.0,2746122791.0
48,8150.343447195447,32860.0,1430.9702639999903,46565157.0,1041143383.0
49,8214.554884961111,32876.0,1431.8754669999905,2262442471.0,71876386.0
50,8227.360042566008,32892.0,1432.0373259999903,5570857806.0,5824565721.0
51,8241.5833804997,32908.0,1433.0467999999903,413318879.0,411046277.0
52,8407.231278415842,32924.0,1433.406785999991,3764980491.0,5849893012.0
53,8473.671052816368,32939.0,1433.99739799999,2443260139.0,2016733944.0
54,8533.345166807092,32954.0,1435.0500139999915,3627634341.0,4563423882.0
55,8582.005311304933,32969.0,1435.8161519999903,290075209.0,46375937.0
56,8776.791242024598,32984.0,1436.2120539999912,1481069339.0,313907943.0
57,8820.078894138787,32998.0,1437.148031999991,4455625689.0,46336500.0
58,8918.216056311296,33012.0,1437.794073999991,31296318.0,31296320.0
59,8968.65629693613,33026.0,1437.9908649999916,1686905839.0,1150816335.0
60,9182.413554180914,33040.0,1438.6487609999913,1565648139.0,5625294703.0
61,9262.417169819291,33054.0,1438.9105459999917,46409074.0,46409560.0
